Senaryo,VU,Port,Ort(ms),P50(ms),P95(ms),P99(ms),RPS,Eklenen_TIME_WAIT
HTTP2MultiplexOn,1,15021,0.470,0.402,0.776,1.447,1961.95,1
HTTP2MultiplexOn,10,15021,1.150,0.990,2.592,3.934,7705.22,10
HTTP2MultiplexOn,50,15021,2.895,2.516,5.339,8.039,13037.10,50
HTTP2MultiplexOn,100,15021,6.439,4.907,16.990,22.487,8549.77,100
